timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1746728208.995937,192.168.0.219:5084,1,-62,b'1a6ec09d9a89a44d7998631f',808,21,195
1746728209.089005,192.168.0.219:5084,2,-57,b'1a6ec09d9a89a44d7998631f',460,21,283
1746728209.13616,192.168.0.219:5084,3,-42,b'1a6ec09d9a89a44d7998631f',62,22,136
1746728208.983332,192.168.0.219:5084,1,-39,b'303405b5280eaad61e731e9e',350,21,87
1746728209.092069,192.168.0.219:5084,2,-61,b'303405b5280eaad61e731e9e',680,21,-9
1746728209.145542,192.168.0.219:5084,3,-60,b'303405b5280eaad61e731e9e',2956,22,107
1746728208.987104,192.168.0.219:5084,1,-61,b'1a9ec09d9a89a0340cbe709c',1204,21,-9
1746728209.078918,192.168.0.219:5084,2,-64,b'1a9ec09d9a89a0340cbe709c',3840,21,-126
1746728209.148049,192.168.0.219:5084,3,-59,b'1a9ec09d9a89a0340cbe709c',10,22,58
1746728209.181417,192.168.0.219:5084,4,-61,b'1a9ec09d9a89a0340cbe709c',3134,22,136
1746728208.981297,192.168.0.219:5084,1,-41,b'e2806894000050245885a8ce',296,21,175
1746728209.053306,192.168.0.219:5084,2,-60,b'e2806894000050245885a8ce',446,21,205
1746728209.156829,192.168.0.219:5084,3,-68,b'e2806894000050245885a8ce',3330,22,205
1746728209.182693,192.168.0.219:5084,4,-63,b'e2806894000050245885a8ce',1212,22,29
1746728208.988244,192.168.0.219:5084,1,-46,b'30340bdca803e807ea8f87fa',2842,21,39
1746728209.147022,192.168.0.219:5084,3,-61,b'30340bdca803e807ea8f87fa',3378,22,-205
1746728209.186518,192.168.0.219:5084,4,-61,b'30340bdca803e807ea8f87fa',726,22,58
1746728209.000682,192.168.0.219:5084,1,-56,b'1a2ec09d9a89a41d45b062ab',3430,21,78
1746728209.080049,192.168.0.219:5084,2,-53,b'1a2ec09d9a89a41d45b062ab',3666,21,195
1746728208.984271,192.168.0.219:5084,1,-59,b'30340bed780a4adaf637f384',1100,21,166
1746728209.04063,192.168.0.219:5084,2,-68,b'30340bed780a4adaf637f384',1888,21,-429
1746728209.134987,192.168.0.219:5084,3,-39,b'30340bed780a4adaf637f384',84,22,166
1746728208.989381,192.168.0.219:5084,1,-44,b'30340bcb6820ef56d141853c',3758,21,39
1746728209.082916,192.168.0.219:5084,2,-59,b'30340bcb6820ef56d141853c',2332,21,68
1746728209.155904,192.168.0.219:5084,3,-62,b'30340bcb6820ef56d141853c',88,22,156
1746728209.17913,192.168.0.219:5084,4,-59,b'30340bcb6820ef56d141853c',2234,22,87
1746728208.995021,192.168.0.219:5084,1,-51,b'303400eda43f67800000bfa3',794,21,117
1746728209.065537,192.168.0.219:5084,2,-49,b'303400eda43f67800000bfa3',538,21,136
1746728209.183591,192.168.0.219:5084,4,-68,b'303400eda43f67800000bfa3',3892,22,9
1746728209.397105,192.168.0.219:5084,3,-34,b'303401ad2c2ce11e88eaca05',1158,23,146
1746728209.483851,192.168.0.219:5084,4,-58,b'303401ad2c2ce11e88eaca05',3312,23,156
1746728209.349313,192.168.0.219:5084,2,-61,b'1a9ec09d9a89a0340cbe709c',468,23,58
1746728209.407845,192.168.0.219:5084,3,-60,b'1a9ec09d9a89a0340cbe709c',2886,23,136
1746728209.459785,192.168.0.219:5084,4,-61,b'1a9ec09d9a89a0340cbe709c',1290,23,68
1746728209.335006,192.168.0.219:5084,2,-68,b'30340592ac54555176592e7e',188,23,-556
1746728209.323168,192.168.0.219:5084,2,-59,b'1a6ec09d9a89a44d7998631f',3068,23,29
1746728209.401879,192.168.0.219:5084,3,-42,b'1a6ec09d9a89a44d7998631f',520,23,97
1746728209.466705,192.168.0.219:5084,4,-57,b'1a6ec09d9a89a44d7998631f',846,23,107
1746728209.32629,192.168.0.219:5084,2,-54,b'3034043d145d4636c004157e',1540,23,166
1746728209.450961,192.168.0.219:5084,4,-56,b'3034043d145d4636c004157e',210,23,136
1746728209.339388,192.168.0.219:5084,2,-52,b'30340bf45421f28ba43b772d',3846,23,117
1746728209.348067,192.168.0.219:5084,2,-64,b'30340bb6884191844ce0046d',3048,23,-58
1746728209.342685,192.168.0.219:5084,2,-56,b'302a0fecf89f08758d158d55',930,23,58
1746728209.405933,192.168.0.219:5084,3,-53,b'302a0fecf89f08758d158d55',3596,23,58
1746728209.440798,192.168.0.219:5084,4,-60,b'302a0fecf89f08758d158d55',342,23,175
1746728209.327482,192.168.0.219:5084,2,-58,b'300811112222014000000000',590,23,48
1746728209.400109,192.168.0.219:5084,3,-44,b'300811112222014000000000',4042,23,156
1746728209.457285,192.168.0.219:5084,4,-62,b'300811112222014000000000',796,23,48
1746728209.32085,192.168.0.219:5084,2,-38,b'303402b6f00cacd6d1467dfc',3512,23,146
1746728209.360892,192.168.0.219:5084,2,-66,b'302f482d23f0055b0223a979',1066,23,273
1746728209.410304,192.168.0.219:5084,3,-57,b'302f482d23f0055b0223a979',626,23,97
1746728209.467587,192.168.0.219:5084,4,-45,b'302f482d23f0055b0223a979',3600,23,107
1746728209.334107,192.168.0.219:5084,2,-60,b'30340212e43c789b0223addd',558,23,332
1746728209.409178,192.168.0.219:5084,3,-63,b'30340212e43c789b0223addd',1794,23,-48
1746728209.32226,192.168.0.219:5084,2,-40,b'303424f330014cce6f7d749d',674,23,68
1746728209.415524,192.168.0.219:5084,3,-61,b'303424f330014cce6f7d749d',3884,23,-107
1746728209.263889,192.168.0.219:5084,1,-60,b'3be300000193cdfb00001c27',3850,22,175
1746728209.330405,192.168.0.219:5084,2,-62,b'3be300000193cdfb00001c27',384,23,68
1746728209.481518,192.168.0.219:5084,4,-55,b'3be300000193cdfb00001c27',160,23,39
1746728209.263015,192.168.0.219:5084,1,-57,b'303211468e03e29b022504c1',184,22,78
1746728209.261636,192.168.0.219:5084,1,-68,b'e2806995000040175bd46647',2908,22,605
1746728209.340539,192.168.0.219:5084,2,-60,b'e2806995000040175bd46647',466,23,87
1746728209.403672,192.168.0.219:5084,3,-50,b'e2806995000040175bd46647',454,23,-19
1746728209.434691,192.168.0.219:5084,4,-58,b'e2806995000040175bd46647',1104,23,195
1746728209.260047,192.168.0.219:5084,1,-63,b'30340bd95c3cb3c210a04d3b',3886,22,9
1746728209.341419,192.168.0.219:5084,2,-55,b'30340bd95c3cb3c210a04d3b',1024,23,234
1746728209.471867,192.168.0.219:5084,4,-52,b'30340bd95c3cb3c210a04d3b',508,23,136
1746728209.256591,192.168.0.219:5084,1,-61,b'302f482e12c0081b022453f5',3366,22,-166
1746728209.350694,192.168.0.219:5084,2,-63,b'302f482e12c0081b022453f5',222,23,19
1746728209.40478,192.168.0.219:5084,3,-55,b'302f482e12c0081b022453f5',322,23,146
1746728209.435873,192.168.0.219:5084,4,-54,b'302f482e12c0081b022453f5',3672,23,156
1746728209.255687,192.168.0.219:5084,1,-57,b'300833b2ddd9014000000000',2810,22,-29
1746728209.324526,192.168.0.219:5084,2,-53,b'300833b2ddd9014000000000',1516,23,175
1746728209.411203,192.168.0.219:5084,3,-61,b'300833b2ddd9014000000000',2934,23,-117
1746728209.468493,192.168.0.219:5084,4,-65,b'300833b2ddd9014000000000',1534,23,117
1746728209.252124,192.168.0.219:5084,1,-60,b'303400edb44de500000506ca',2822,22,9
1746728209.328381,192.168.0.219:5084,2,-54,b'303400edb44de500000506ca',300,23,39
1746728209.464451,192.168.0.219:5084,4,-50,b'303400edb44de500000506ca',516,23,126
1746728209.241321,192.168.0.219:5084,1,-57,b'303402230c5fe5000000284f',588,22,195
1746728209.331296,192.168.0.219:5084,2,-62,b'303402230c5fe5000000284f',190,23,29
1746728209.400984,192.168.0.219:5084,3,-58,b'303402230c5fe5000000284f',2616,23,117
1746728209.433558,192.168.0.219:5084,4,-54,b'303402230c5fe5000000284f',68,23,78
1746728209.235121,192.168.0.219:5084,1,-54,b'3034055d140442c00002f66f',1292,22,166
1746728209.338478,192.168.0.219:5084,2,-60,b'3034055d140442c00002f66f',3250,23,175
1746728209.402782,192.168.0.219:5084,3,-53,b'3034055d140442c00002f66f',68,23,97
1746728209.484764,192.168.0.219:5084,4,-53,b'3034055d140442c00002f66f',396,23,87
1746728209.234179,192.168.0.219:5084,1,-53,b'30340bd9601cb4131dae71ca',38,22,136
1746728209.406818,192.168.0.219:5084,3,-60,b'30340bd9601cb4131dae71ca',2980,23,175
1746728209.232233,192.168.0.219:5084,1,-47,b'303400eda43f67800000bfa3',4054,22,97
1746728209.319954,192.168.0.219:5084,2,-47,b'303400eda43f67800000bfa3',3896,23,136
1746728209.231122,192.168.0.219:5084,1,-48,b'30340bdca803e807ea8f87fa',4,22,107
1746728209.343576,192.168.0.219:5084,2,-62,b'30340bdca803e807ea8f87fa',4026,23,9
1746728209.414654,192.168.0.219:5084,3,-61,b'30340bdca803e807ea8f87fa',3708,23,166
1746728209.458485,192.168.0.219:5084,4,-63,b'30340bdca803e807ea8f87fa',846,23,-48
1746728209.228885,192.168.0.219:5084,1,-40,b'e2806894000050245885a8ce',3576,22,107
1746728209.226902,192.168.0.219:5084,1,-44,b'30340bcb6820ef56d141853c',3238,22,87
1746728209.344475,192.168.0.219:5084,2,-59,b'30340bcb6820ef56d141853c',3170,23,-214
1746728209.412619,192.168.0.219:5084,3,-61,b'30340bcb6820ef56d141853c',766,23,126
1746728209.482951,192.168.0.219:5084,4,-59,b'30340bcb6820ef56d141853c',1300,23,58
1746728209.224426,192.168.0.219:5084,1,-66,b'3034047138105841dcd6558d',3734,22,400
1746728209.345374,192.168.0.219:5084,2,-57,b'3034047138105841dcd6558d',294,23,117
1746728209.450075,192.168.0.219:5084,4,-62,b'3034047138105841dcd6558d',3400,23,185
1746728209.243795,192.168.0.219:5084,1,-63,b'30340bed780a4adaf637f384',3528,22,214
1746728209.352624,192.168.0.219:5084,2,-66,b'30340bed780a4adaf637f384',2870,23,195
1746728209.396211,192.168.0.219:5084,3,-40,b'30340bed780a4adaf637f384',470,23,166
1746728209.437662,192.168.0.219:5084,4,-68,b'30340bed780a4adaf637f384',92,23,175
1746728209.238791,192.168.0.219:5084,1,-62,b'302832aa8f7309800001f49f',3412,22,78
1746728209.333074,192.168.0.219:5084,2,-66,b'302832aa8f7309800001f49f',4060,23,78
