timestamp,reader,antenna,epc,phase_angle,channel_index,doppler_frequency,rssi,,,epc,(All),,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3520,14,332,-58,,,,,,,,,
1753823924,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',2720,14,1,-71,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',488,15,39,-47,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3680,15,566,-61,,,,,,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',32,15,273,-61,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',300,15,195,-49,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2740,15,-18,-55,,,,,,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',712,16,39,-55,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2732,16,-371,-55,,,,,,,,,
1753823924,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',568,16,273,-55,,,,,,,,,
1753823924,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',684,16,273,-54,,,,,,,,,
1753823924,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',1876,16,117,-66,,,,,,,,,
1753823924,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2496,16,-234,-54,,,,,,,,,
1753823925,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',200,16,2,-56,,,,,,,,,
1753823925,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',216,17,195,-56,,,,,,,,,
1753823925,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2644,17,117,-56,,,,,,,,,
1753823925,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',264,17,449,-55,,,,,,,,,
1753823925,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',332,17,195,-55,,,,,,,,,
1753823925,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',3812,17,-12,-71,,,,,,,,,
1753823925,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',732,17,6,-55,,,,,,,,,
1753823925,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3684,18,195,-53,,,,,,,,,
1753823925,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3864,18,-78,-55,,,,,,,,,
1753823925,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2820,18,-78,-55,,,,,,,,,
1753823925,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3672,18,273,-53,,,,,,,,,
1753823925,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',4048,18,195,-55,,,,,,,,,
1753823925,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',736,18,447,-68,,,,,,,,,
1753823925,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',136,18,-511,-53,,,,,,,,,
1753823925,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1944,19,0,-54,,,,,,,,,
1753823925,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2268,19,-234,-55,,,,,,,,,
1753823925,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',52,19,78,-59,,,,,,,,,
1753823925,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2152,19,78,-54,,,,,,,,,
1753823925,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2528,19,-39,-56,,,,,,,,,
1753823925,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',3916,19,13,-72,,,,,,,,,
1753823925,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3180,20,156,-50,,,,,,,,,
1753823925,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3868,20,488,-52,,,,,,,,,
1753823925,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',56,20,273,-54,,,,,,,,,
